Question,Answer
What is the purpose of the Primary Healthcare Fund?,"To purchase primary healthcare services, pay health facilities, and establish a pool for receipt and payment of funds."
Who is eligible to access healthcare under the Primary Healthcare Fund?,Every person resident in Kenya who is registered as a member of the Social Health Insurance Fund.
What services are covered under the Primary Healthcare Fund?,"Promotive, preventive, curative, rehabilitative, palliative care, and referral services."
What is the role of the Authority in financing the Primary Healthcare Fund?,To mobilize resources for purchasing primary healthcare services from health facilities.
What is the Social Health Insurance Fund used for?,To pool all contributions and purchase healthcare services from contracted providers and facilities.
Who must register with the Social Health Insurance Fund?,Every person resident in Kenya within 90 days of the regulations coming into effect.
What documents are required for initial registration?,A national ID or an alternative approved document.
How are children registered under the Social Health Insurance Fund?,"Through their parent or guardian, with a birth certificate or notification document."
What happens when a beneficiary under the Social Health Insurance Fund dies?,The Authority deregisters the person and revokes their insurance card.
How are contributions determined for salaried employees?,"A monthly deduction of 2.75% of gross salary, with a minimum contribution of Ksh 300."
What is the contribution rate for non-salaried households?,"2.75% of household income, determined by a means testing instrument."
Who pays contributions for indigent households?,"The National or County Government, as determined by means testing."
Who contributes for persons under lawful custody?,The Ministry responsible for correctional services.
How is means testing conducted?,Using socio-economic data collected from households.
What are the obligations of an employer under the Social Health Insurance Fund?,To deduct and submit contributions for employees by the ninth of each month.
What penalty is imposed for late contribution payments?,"A penalty as determined by the Authority, with notification sent to the contributor."
How can a contributor request their account statement?,By submitting a request to the Authority.
"What is the Emergency, Chronic and Critical Illness Fund used for?","To finance emergency services, critical care, and chronic illness treatment."
"Who is eligible for benefits under the Emergency, Chronic and Critical Illness Fund?",Beneficiaries of the Social Health Insurance Fund who exhaust their primary benefits.
"What services are covered under the Emergency, Chronic and Critical Illness Fund?","Emergency care, chronic illness treatment, and critical care services."
"How are payments made from the Emergency, Chronic and Critical Illness Fund?","Based on claims submitted by healthcare providers, reviewed by the Claims Management Office."
What is the national emergency medical care code used for?,Handling medical emergencies and informing beneficiaries of available services.
What is empanelment in healthcare provision?,The process of selecting and registering healthcare providers for service delivery.
Who can provide services under the Social Health Insurance Fund?,Licensed and contracted healthcare providers and facilities.
How are healthcare providers contracted?,Through a public procurement process as per the Public Procurement and Asset Disposal Act.
What happens if a contracted provider fails to meet standards?,"The contract is terminated, and they are removed from the list of service providers."
Can Kenyan beneficiaries receive treatment outside the country?,"Yes, if the required treatment is unavailable in Kenya and approved by the Authority."
What is required for treatment approval outside Kenya?,"A referral, medical history, and proof that the treatment is unavailable locally."
Who determines the essential healthcare benefits packages?,"The Benefits Package and Tariffs Advisory Panel, reviewed every two years."
What factors are considered when designing an essential benefits package?,"Clinical effectiveness, disease burden, cost-effectiveness, and feasibility."
Who can propose new healthcare interventions?,"Stakeholders including policymakers, academia, NGOs, and health professionals."
How are new healthcare interventions selected?,"Through a structured selection, assessment, and appraisal process."
What is the role of the Benefits Package and Tariffs Advisory Panel?,To review and update benefit packages and tariffs based on data and assessments.
How are tariffs for healthcare services determined?,"Using cost analysis, actuarial studies, and stakeholder engagement."
What are the steps in setting new tariffs?,"Data collection, proposal, stakeholder engagement, recommendation, and approval."
Who approves the final tariffs?,"The Cabinet Secretary, after recommendations from the Benefits Package and Tariffs Advisory Panel."
How often are tariffs reviewed?,Every two years or as determined by the Cabinet Secretary.
What factors influence tariff adjustments?,"Economic conditions, technological advancements, disease burden, and market dynamics."
What is the role of the Claims Management Office?,"To process claims, conduct reviews, and handle pre-authorization requests."
What is required when lodging a healthcare claim?,"Patient details, service description, amount claimed, and necessary supporting documents."
How long does a healthcare provider have to submit a claim?,Within seven days from the patient's discharge.
What happens if a claim has errors?,It is returned to the healthcare provider for correction.
What is pre-authorization in healthcare?,Approval required before providing certain specialized services.
What happens if a claim is found to be non-compliant?,"It is rejected, and if already paid, the healthcare provider may be asked to refund it."
What is the Centralized Digital Platform?,"A system for managing beneficiary records, claims processing, and payments."
How do healthcare providers verify patient eligibility?,"Using biometrics, national ID, or a one-time password."
Who is responsible for maintaining accurate medical records?,Healthcare providers and facilities contracted under the scheme.
How are disputes regarding claims handled?,Through an independent adjudication panel.
What is the penalty for fraudulent claims?,Revocation of the contract and possible legal action.
Who oversees compliance with the healthcare regulations?,"The Authority, through audits and quality assurance checks."
What is the role of a medical insurance provider in claims processing?,"To review, verify, and submit claims for payment, ensuring compliance with regulations."
What documents must be submitted for a healthcare claim?,"Social health insurance number, hospital registration number, patient details, clinical details, and claim amount."
How long does the Claims Management Office have to process a pre-authorization request?,Within 72 hours of receiving the request.
What happens if a claim is fraudulently submitted?,"The provider may be required to refund the amount, and their contract may be terminated."
Who is responsible for monitoring compliance with tariffs and claims?,The Authority and the Benefits Package and Tariffs Advisory Panel.
What are the main responsibilities of the Benefits Package and Tariffs Advisory Panel?,"Reviewing benefits and tariffs, assessing cost-effectiveness, and making recommendations."
